year,title,genres,boxOffice,rank,category,winner
2018,Darkest Hour,"Biography,Drama,History",56443120,50,Best Cinematography,false
2018,Blade Runner 2049,"Drama,Mystery,Sci-Fi",92054159,33,Best Visual Effects,true
2018,Kong: Skull Island,"Action,Adventure,Fantasy",168052812,20,Best Visual Effects,false
2018,War for the Planet of the Apes,"Action,Adventure,Drama",146880162,22,Best Visual Effects,false
2018,Guardians of the Galaxy Vol. 2,"Action,Adventure,Comedy",389813101,5,Best Visual Effects,false
2018,Star Wars: Episode VIII - The Last Jedi,"Action,Adventure,Fantasy",620181382,1,Best Visual Effects,false
2017,Moonlight,"Drama",28686439,96,Best Picture,true
2017,Hell or High Water,"Action,Crime,Drama",27668323,99,Best Picture,false
2017,Fences,"Drama",59372249,58,Best Picture,false
2017,La La Land,"Comedy,Drama,Music",155634857,19,Best Picture,false
2017,Hidden Figures,"Biography,Drama,History",174695505,14,Best Picture,false
2017,Lion,"Biography,Drama",53245699,67,Best Picture,false
2017,Manchester by the Sea,"Drama",49125973,70,Best Picture,false
2017,Arrival,"Drama,Mystery,Sci-Fi",103562523,30,Best Picture,false
2017,Hacksaw Ridge,"Biography,Drama,History",69225903,47,Best Picture,false
2017,La La Land,"Comedy,Drama,Music",155634857,19,Best Directing,true
2017,Moonlight,"Drama",28686439,96,Best Directing,false
2017,Premier contact,"Drama,Mystery,Sci-Fi",103562523,30,Best Directing,false
2017,Manchester by the Sea,"Drama",49125973,70,Best Directing,false
2017,Tu ne tueras point,"Biography,Drama,History",69225903,47,Best Directing,false
2017,Manchester by the Sea,"Drama",49125973,70,Best Original Screenplay,true
2017,20th Century Women,"Comedy,Drama",5833770,162,Best Original Screenplay,false
2017,Hell or High Water,"Action,Crime,Drama",27668323,99,Best Original Screenplay,false
2017,La La Land,"Comedy,Drama,Music",155634857,19,Best Original Screenplay,false
2017,The Lobster,"Comedy,Drama,Romance",8960212,123,Best Original Screenplay,false
2017,Moonlight,"Drama",28686439,96,Best Adapted Screenplay,true
2017,Fences,"Drama",59372249,58,Best Adapted Screenplay,false
2017,Hidden Figures,"Biography,Drama,History",174695505,14,Best Adapted Screenplay,false
2017,Lion,"Biography,Drama",53245699,67,Best Adapted Screenplay,false
2017,Arrival,"Drama,Mystery,Sci-Fi",103562523,30,Best Adapted Screenplay,false
2017,La La Land,"Comedy,Drama,Music",155634857,19,Best Cinematography,true
2017,Lion,"Biography,Drama",53245699,67,Best Cinematography,false
2017,Moonlight,"Drama",28686439,96,Best Cinematography,false
2017,Arrival,"Drama,Mystery,Sci-Fi",103562523,30,Best Cinematography,false
2017,Silence,"Adventure,Drama,History",7291566,152,Best Cinematography,false
2017,The Jungle Book,"Adventure,Drama,Family",374921156,5,Best Visual Effects,true
2017,Deepwater Horizon,"Action,Drama,History",63123495,54,Best Visual Effects,false
2017,Doctor Strange,"Action,Adventure,Fantasy",239621177,13,Best Visual Effects,false
